race_id,hits,trio,quarte,quinte,winner1,winner2,winner3,winner7,swap,swap_delta,promote,win_delta,sel,ordered,race_ord,period,race_date,discipline,official,v44_top7,v51_top7,v51_selection_set
R1C8_2026-08-12,1,False,False,False,True,True,True,True,False,-0.2100341340924735,True,0.323900668186057,"[14, 8, 12, 10, 2, 5, 1]","[14, 8, 5, 10, 2, 12, 1]",32,HOLDOUT28,2026-08-12,ATTELE_VOLTE,14-4-3-7-13,14-8-12-10-2-5-1,14-8-5-10-2-12-1,14-8-12-10-2-5-1
R1C8_2026-08-13,3,True,False,False,False,False,False,True,False,-0.25990131262020544,True,0.003685368236598263,"[15, 10, 8, 2, 6, 3, 13]","[15, 10, 2, 8, 6, 3, 13]",33,HOLDOUT28,2026-08-13,PLAT,3-6-13-1-16,15-10-8-2-6-3-13,15-10-2-8-6-3-13,15-10-8-2-6-3-13
R1C4_2026-08-14,4,True,False,False,True,True,True,True,False,-0.5304579042196972,True,0.10872369570381477,"[10, 13, 5, 9, 3, 4, 12]","[10, 13, 4, 9, 3, 5, 12]",34,HOLDOUT28,2026-08-14,ATTELE_AUTOSTART,10-4-9-1-13,10-13-5-9-3-4-12,10-13-4-9-3-5-12,10-13-5-9-3-4-12
R1C3_2026-08-15,3,False,False,False,False,False,False,False,False,-0.0887858774463745,True,0.4578862819254439,"[9, 6, 10, 2, 7, 16, 8]","[9, 6, 16, 2, 7, 10, 8]",35,HOLDOUT28,2026-08-15,PLAT,13-11-7-16-6,9-6-10-2-7-16-8,9-6-16-2-7-10-8,9-6-10-2-7-16-8
R1C3_2026-08-16,2,False,False,False,True,True,True,True,False,-0.18368469763758008,True,0.14088204676050498,"[8, 6, 11, 10, 12, 3, 1]","[8, 6, 10, 11, 12, 3, 1]",36,HOLDOUT28,2026-08-16,PLAT,8-14-11-5-4,8-6-11-10-12-3-1,8-6-10-11-12-3-1,8-6-11-10-12-3-1
R1C8_2026-08-17,2,False,False,False,True,True,True,True,False,-0.30082465498486444,True,0.06193963883916742,"[4, 1, 11, 12, 3, 8, 5]","[4, 3, 11, 12, 1, 8, 5]",37,HOLDOUT28,2026-08-17,HAIES,4-2-12-13-15,4-1-11-12-3-8-5,4-3-11-12-1-8-5,4-1-11-12-3-8-5
R1C8_2026-08-18,2,False,False,False,False,False,False,False,False,-0.24268445900723878,True,0.32034286252452926,"[9, 5, 15, 10, 7, 16, 4]","[9, 5, 16, 10, 7, 15, 4]",38,HOLDOUT28,2026-08-18,PLAT,2-9-13-14-15,9-5-15-10-7-16-4,9-5-16-10-7-15-4,9-5-15-10-7-16-4
R1C8_2026-08-19,4,True,True,False,False,False,False,True,False,-0.12539345957518278,True,0.16990228244067457,"[14, 13, 4, 12, 10, 15, 11]","[14, 13, 10, 12, 4, 15, 11]",39,HOLDOUT28,2026-08-19,ATTELE_VOLTE,4-10-12-11-7,14-13-4-12-10-15-11,14-13-10-12-4-15-11,14-13-4-12-10-15-11
R1C8_2026-08-20,3,False,False,False,False,False,False,False,False,-0.4497368179319978,True,0.29945617185226514,"[8, 2, 7, 3, 9, 6, 10]","[8, 3, 7, 2, 9, 6, 10]",40,HOLDOUT28,2026-08-20,PLAT,11-15-6-9-3,8-2-7-3-9-6-10,8-3-7-2-9-6-10,8-2-7-3-9-6-10
R1C4_2026-08-21,3,False,False,False,False,False,False,False,False,-0.5542430263661802,True,0.1388700414252637,"[8, 13, 11, 2, 7, 14, 9]","[8, 7, 11, 2, 13, 14, 9]",41,HOLDOUT28,2026-08-21,ATTELE_VOLTE,4-13-8-7-3,8-13-11-2-7-14-9,8-7-11-2-13-14-9,8-13-11-2-7-14-9
R1C3_2026-08-22,3,False,False,False,False,False,False,False,False,-0.10748701845667352,True,0.11707599030730298,"[3, 5, 10, 9, 2, 15, 1]","[3, 5, 9, 10, 2, 15, 1]",42,HOLDOUT28,2026-08-22,PLAT,14-9-5-12-10,3-5-10-9-2-15-1,3-5-9-10-2-15-1,3-5-10-9-2-15-1
R1C3_2026-08-23,5,True,True,True,False,False,True,True,False,-0.30452546710241934,True,0.24614306605602804,"[5, 2, 13, 6, 12, 7, 11]","[5, 6, 13, 2, 12, 7, 11]",43,HOLDOUT28,2026-08-23,PLAT,13-5-12-6-11,5-2-13-6-12-7-11,5-6-13-2-12-7-11,5-2-13-6-12-7-11
R1C8_2026-08-24,3,False,False,False,False,True,True,True,False,-0.3609300618268593,True,0.1528041374573781,"[17, 13, 16, 9, 15, 12, 5]","[17, 13, 5, 9, 15, 12, 16]",44,HOLDOUT28,2026-08-24,ATTELE_VOLTE,13-16-3-17-18,17-13-16-9-15-12-5,17-13-5-9-15-12-16,17-13-16-9-15-12-5
R1C8_2026-08-25,5,True,True,True,False,False,False,True,False,-0.10462821721412169,True,0.13097910425114445,"[11, 3, 14, 4, 5, 9, 6]","[11, 3, 9, 4, 5, 14, 6]",45,HOLDOUT28,2026-08-25,PLAT,14-9-11-6-3,11-3-14-4-5-9-6,11-3-9-4-5-14-6,11-3-14-4-5-9-6
R1C8_2026-08-26,4,False,False,False,False,True,True,True,False,-0.15508034710993246,True,0.5021753513118874,"[4, 6, 1, 13, 14, 5, 3]","[4, 6, 14, 13, 1, 5, 3]",46,HOLDOUT28,2026-08-26,STEEPLECHASE,6-10-1-4-13,4-6-1-13-14-5-3,4-6-14-13-1-5-3,4-6-1-13-14-5-3
R1C8_2026-08-27,3,False,False,False,False,False,False,False,False,-0.13717726815533154,True,0.7028139391995203,"[1, 4, 2, 14, 3, 9, 11]","[1, 4, 14, 2, 3, 9, 11]",47,HOLDOUT28,2026-08-27,PLAT,13-1-3-5-14,1-4-2-14-3-9-11,1-4-14-2-3-9-11,1-4-2-14-3-9-11
R1C4_2026-08-28,2,False,False,False,False,False,False,False,False,-0.27858866841709745,True,0.4002154290697796,"[7, 6, 4, 13, 16, 9, 3]","[7, 13, 4, 6, 16, 9, 3]",48,HOLDOUT28,2026-08-28,ATTELE_VOLTE,5-9-10-16-1,7-6-4-13-16-9-3,7-13-4-6-16-9-3,7-6-4-13-16-9-3
R1C4_2026-08-29,4,True,True,False,False,False,False,True,True,0.002022448242307573,True,0.38273143320430625,"[12, 8, 9, 6, 13, 2, 5]","[12, 8, 13, 6, 9, 2, 5]",49,HOLDOUT28,2026-08-29,ATTELE_VOLTE,6-12-13-2-1,12-8-9-6-13-2-1,12-8-13-6-9-2-5,12-8-9-6-13-2-5
R1C1_2026-08-31,2,False,False,False,False,False,False,False,False,-0.21527358772667934,False,-0.19123871758631067,"[9, 11, 8, 6, 14, 12, 13]","[9, 11, 8, 6, 14, 12, 13]",50,HOLDOUT28,2026-08-31,PLAT,1-2-15-14-13,9-11-8-6-14-12-13,9-11-8-6-14-12-13,9-11-8-6-14-12-13
R1C1_2026-09-02,5,True,True,True,True,True,True,True,False,-0.3527684560215618,False,-0.23292677569695303,"[9, 13, 7, 1, 11, 6, 10]","[9, 13, 7, 1, 11, 6, 10]",51,HOLDOUT28,2026-09-02,ATTELE_AUTOSTART,9-13-10-6-11,9-13-7-1-11-6-10,9-13-7-1-11-6-10,9-13-7-1-11-6-10
R1C1_2026-09-03,4,False,False,False,False,False,True,True,False,-0.24755378484577348,False,-0.01723072077296639,"[3, 13, 14, 16, 1, 9, 8]","[3, 13, 14, 16, 1, 9, 8]",52,HOLDOUT28,2026-09-03,PLAT,14-1-10-3-13,3-13-14-16-1-9-8,3-13-14-16-1-9-8,3-13-14-16-1-9-8
R1C4_2026-09-04,4,False,False,False,False,False,False,True,False,-0.25101739837591247,False,-0.14185730229099103,"[15, 11, 14, 9, 2, 8, 6]","[15, 11, 14, 9, 2, 8, 6]",53,HOLDOUT28,2026-09-04,ATTELE_VOLTE,8-11-12-6-2,15-11-14-9-2-8-6,15-11-14-9-2-8-6,15-11-14-9-2-8-6
R1C4_2026-09-05,5,True,True,True,True,True,True,True,False,,True,0.19742964256495782,"[10, 3, 6, 11, 14, 8, 13]","[10, 3, 8, 11, 14, 6, 13]",54,HOLDOUT28,2026-09-05,ATTELE_VOLTE,10-3-13-6-14,10-3-6-11-14-8-13,10-3-8-11-14-6-13,10-3-6-11-14-8-13
R1C3_2026-09-06,3,False,False,False,False,False,False,True,False,-0.1803838525493362,True,0.4521509860543017,"[8, 4, 13, 2, 10, 12, 9]","[8, 10, 13, 2, 4, 12, 9]",55,HOLDOUT28,2026-09-06,PLAT,9-2-16-12-1,8-4-13-2-10-12-9,8-10-13-2-4-12-9,8-4-13-2-10-12-9
R1C1_2026-09-07,3,False,False,False,True,True,True,True,False,-0.44897799233710645,True,0.5727254665360825,"[13, 14, 8, 16, 10, 3, 5]","[13, 14, 10, 16, 8, 3, 5]",56,HOLDOUT28,2026-09-07,ATTELE_VOLTE,13-16-7-3-6,13-14-8-16-10-3-5,13-14-10-16-8-3-5,13-14-8-16-10-3-5
R1C1_2026-09-08,2,False,False,False,False,False,True,True,False,-0.16241989282853658,True,0.4778005492316422,"[10, 1, 2, 16, 5, 8, 12]","[10, 1, 8, 16, 5, 2, 12]",57,HOLDOUT28,2026-09-08,HAIES,8-14-9-4-5,10-1-2-16-5-8-12,10-1-8-16-5-2-12,10-1-2-16-5-8-12
