race_date,race_id,discipline,official,v44_top7,fund_top7,v51_top7,v51_selection_set,v51_top3,hits,trio,quarte,quinte,winner,winner_top1,winner_top2,winner_top3,winner_top7,consensus_count,period
2026-08-21,R1C4_2026-08-21,ATTELE_VOLTE,4-13-8-7-3,8-13-11-2-7-14-9,14-2-13-11-4-9-7,8-7-11-14-13-2-9,13-2-14-7-11-9-8,8-7-11,3,False,False,False,4,False,False,False,False,6,HOLDOUT28
2026-08-22,R1C3_2026-08-22,PLAT,14-9-5-12-10,3-5-10-9-2-15-1,4-1-16-3-7-5-10,5-3-9-10-15-2-1,5-3-10-1-9-2-15,5-3-9,3,False,False,False,14,False,False,False,False,4,HOLDOUT28
2026-08-23,R1C3_2026-08-23,PLAT,13-5-12-6-11,5-2-13-6-12-7-11,5-2-7-6-14-9-11,13-6-5-7-12-2-11,5-7-6-2-11-13-12,13-6-5,5,True,True,True,13,True,True,True,True,5,HOLDOUT28
2026-08-24,R1C8_2026-08-24,ATTELE_VOLTE,13-16-3-17-18,17-13-16-9-15-12-5,17-5-9-13-8-16-3,13-17-5-9-16-15-12,17-13-5-9-16-15-12,13-17-5,3,False,False,False,13,True,True,True,True,5,HOLDOUT28
2026-08-25,R1C8_2026-08-25,PLAT,14-9-11-6-3,11-3-14-4-5-9-6,11-4-8-5-10-3-6,9-11-3-14-4-5-6,11-3-5-4-6-9-14,9-11-3,5,True,True,True,14,False,False,False,True,5,HOLDOUT28
2026-08-26,R1C8_2026-08-26,STEEPLECHASE,6-10-1-4-13,4-6-1-13-14-5-3,5-2-4-1-11-6-3,14-13-6-4-5-1-3,4-6-1-5-3-14-13,14-13-6,4,False,False,False,6,False,False,True,True,5,HOLDOUT28
2026-08-27,R1C8_2026-08-27,PLAT,13-1-3-5-14,1-4-2-14-3-9-11,11-1-3-16-4-8-9,14-4-3-1-11-2-9,3-4-1-11-9-14-2,14-4-3,3,False,False,False,13,False,False,False,False,5,HOLDOUT28
2026-08-28,R1C4_2026-08-28,ATTELE_VOLTE,5-9-10-16-1,7-6-4-13-16-9-3,9-6-3-4-7-5-14,13-7-4-9-6-16-3,7-4-6-9-3-13-16,13-7-4,2,False,False,False,5,False,False,False,False,5,HOLDOUT28
2026-08-29,R1C4_2026-08-29,ATTELE_VOLTE,6-12-13-2-1,12-8-9-6-13-2-1,7-8-9-6-12-3-5,12-13-2-8-9-6-5,12-8-9-6-13-2-5,12-13-2,4,True,True,False,6,False,False,False,True,4,HOLDOUT28
2026-08-31,R1C1_2026-08-31,PLAT,1-2-15-14-13,9-11-8-6-14-12-13,4-13-6-1-8-11-2,11-9-8-6-12-13-14,11-13-6-8-9-14-12,11-9-8,2,False,False,False,1,False,False,False,False,4,HOLDOUT28
2026-09-02,R1C1_2026-09-02,ATTELE_AUTOSTART,9-13-10-6-11,9-13-7-1-11-6-10,9-10-13-2-8-1-3,13-9-7-11-1-10-6,13-9-10-1-7-11-6,13-9-7,5,True,True,True,9,False,True,True,True,4,HOLDOUT28
2026-09-03,R1C1_2026-09-03,PLAT,14-1-10-3-13,3-13-14-16-1-9-8,13-9-3-8-7-10-16,3-13-14-16-9-1-8,13-9-3-16-8-1-14,3-13-14,4,False,False,False,14,False,False,True,True,5,HOLDOUT28
2026-09-04,R1C4_2026-09-04,ATTELE_VOLTE,8-11-12-6-2,15-11-14-9-2-8-6,2-11-6-9-13-4-15,15-14-11-2-6-9-8,15-11-2-6-9-14-8,15-14-11,4,False,False,False,8,False,False,False,True,5,HOLDOUT28
2026-09-05,R1C4_2026-09-05,ATTELE_VOLTE,10-3-13-6-14,10-3-6-11-14-8-13,6-13-8-10-3-14-11,10-3-8-11-14-6-13,10-13-3-8-14-6-11,10-3-8,5,True,True,True,10,True,True,True,True,7,HOLDOUT28
2026-09-06,R1C3_2026-09-06,PLAT,9-2-16-12-1,8-4-13-2-10-12-9,4-9-12-13-2-8-5,8-10-13-12-4-9-2,4-8-12-2-9-13-10,8-10-13,3,False,False,False,9,False,False,False,True,6,HOLDOUT28
2026-09-07,R1C1_2026-09-07,ATTELE_VOLTE,13-16-7-3-6,13-14-8-16-10-3-5,13-16-3-14-8-10-6,10-14-5-13-3-16-8,14-10-13-3-16-8-5,10-14-5,3,False,False,False,13,False,False,False,True,6,HOLDOUT28
2026-09-08,R1C1_2026-09-08,HAIES,8-14-9-4-5,10-1-2-16-5-8-12,2-10-16-12-9-3-1,8-1-5-10-16-2-12,10-2-1-16-12-8-5,8-1-5,2,False,False,False,8,True,True,True,True,5,HOLDOUT28
